OBJECTID,State,Abbr,Region,EMA+E:GC,EMAC Description,IMAS,IMAS Description,EMAC Public/Private,IMAS Public,IMAS Private,Private/Volunteer Responder In-State Benefits & Protections,Engineer,Architect
21,Louisiana,LA,6,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.",State has a standard compact. State law allows its EMAC system to include volunteer health practitioners.,"State enacts a statewide IMAS encompassing all Louisiana parishes, which allows (but does not require) any parish to provide emergency assistance to any other parish upon request.",State establishes a private corps for assisting in disaster recovery and empowers the governor to establish a registry of disaster volunteers to be deployed either by the state or local emergency management authority.,"During a declared state of emergency, any natural or juridical person who gratuitously and voluntarily renders any disaster relief, recovery services, or products in coordination with the state or its political subdivisions shall not be liable to the recipient thereof for an injury
or death to a person or any damage to property resulting therefrom, except in the event of gross negligence, willful misconduct, or unlicensed persons providing care, assistance, goods, or services for which a license is required. In-state registered/licensed architects, professional engineers, and professional land surveyors volunteering their architectural, engineering, or land surveying services, respectively, without compensation during and related to a declared emergency at the request or with the approval of an appropriate public authority (see footnote) acting in an official capacity are not liable for civil damages for harm to persons or property resulting from their acts, errors, or omissions in rendering those services for any structure, building, piping, or other engineered system except in cases of gross negligence or wanton, willful, or intentional misconduct.",Yes,Yes
47,Massachusetts,MA,1,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-in program,State creates a mutual aid program but leaves the burden on individual jurisdictions to opt in to the program.,Commonwealth has a standard compact with no known significant incorporation of private resources into EMAC.,Commonwealth adopts a commonwealth-wide opt-in IMAS. Most communities have opted-in.,Commonwealth’s IMAS allows responding jurisdictions to deploy volunteers and contractors to a requesting jurisdiction.,"Volunteers and contractors officially responding to mutual aid requests and officially operating under a government unit are considered government employees and given the same civil liability immunity as government employees. Absent wanton, willful, or intentional misconduct or gross negligence, in-state licensed architects and professional engineers, as well as landscape architects, land surveyors, planners certified by the American Institute of Certified Planners, and certain contractors, who volunteer their professional services in good faith for disaster relief without compensation at the request or with the approval of a public authority they believe to be acting in an official capacity are not liable for civil damages for harm resulting from their acts, errors, or omissions in their performance of certain statutorily-defined professional services relating to buildings, structures, and other statutorily-defined engineered systems and components when provided during or within 90 days of the natural disaster, unless the period of emergency is extended by the governor.",Yes,Yes
5,Maryland,MD,3,Enhanced EMAC,"Provides benefits and protections to public-sector response personnel, while also providing some benefits and protections to private-sector response personnel. Private-sector personnel may be allowed to deploy through EMAC during disasters.",Statewide opt-in program,State creates a mutual aid program but leaves the burden on individual jurisdictions to opt in to the program.,State has an enhanced compact. Individuals may be preregistered or precertified by a unit of state government as civil defense volunteers for deployment through EMAC.,State adopts a statewide opt-in IMAS.,"State defines “Emergency Management” broadly as planning, implementing, and conducting of risk reduction and consequence management activities across the mission areas of prevention, protection, mitigation, response, and recovery to enhance preparedness, save lives, preserve public health and safety, protect public and private property, and minimize or repair injury and damage that results or may result from emergencies, but not including military activities. State authorizes itself and its political subdivisions to accept aid and assistance from private persons for emergency management purposes.","Except in cases of gross negligence, or wanton or willful misconduct, in-state licensed architects and professional engineers are not liable for civil damages beyond any applicable insurance or self-insurance limits for harm to persons or property resulting from
their acts, errors, or omissions in the practice of architecture or engineering, respectively, if practicing voluntarily and without compensation at the scene of a declared disaster, while the declared state of emergency is in effect, and at the request of a public official
for emergency management purposes. Regularly enrolled volunteer members or trainees of the Maryland Department of Emergency Management receive workers’ compensation benefits. Subject to certain statutorily-defined limitations and requirements (see citation
in footnote), civil defense volunteers (who must be precertified or preregistered with a unit of state government to provide services at the request of the state during an emergency) receive workers’ compensation benefits.",Yes,Yes
34,Maine,ME,1,Enhanced EMAC,"Provides benefits and protections to public-sector response personnel, while also providing some benefits and protections to private-sector response personnel. Private-sector personnel may be allowed to deploy through EMAC during disasters.",Individual Compacts,"Individual jurisdictions enter into mutual aid agreements with each other, often in the form of a Memorandum of Understanding or Memorandum of Agreement. This approach allows for geographic limitations of each individual agreement and the possibility for variations among individual agreements within a given area.",State has an enhanced compact. State may deploy private personnel through EMAC to another state.,"For first responders, state adopts a statewide opt-out IMAS, but otherwise directs each local emergency management organization to develop mutual aid agreements with other public and private agencies within the state.",State and local Emergency Management Agencies (EMAs) may employ any person considered necessary to assist with emergency management activities.,"Any persons officially called upon for disaster assistance are considered employees of the state for liability immunity and, with limited exception, for workers’ compensation purposes. Absent reckless or intentional misconduct, in-state licensed architects and professional
engineers, as well as in-state licensed landscape architects and land surveyors, along with certain certified planners and certain contractors, who volunteer their professional services in good faith for disaster relief without compensation other than expense reimbursement at the request or with the approval of a public authority they believe to be acting in an official capacity are not liable for civil damages for harm to persons or property resulting from their acts, errors, or omissions in rendering those professional services when provided during the natural disaster or during a period of emergency that has been extended by the president or governor.",Yes,Yes
39,Michigan,MI,5,Enhanced EMAC,"Provides benefits and protections to public-sector response personnel, while also providing some benefits and protections to private-sector response personnel. Private-sector personnel may be allowed to deploy through EMAC during disasters.",Statewide opt-in program,State creates a mutual aid program but leaves the burden on individual jurisdictions to opt in to the program.,"State has an enhanced compact. State’s IMAS agreement empowers Michigan, as the requesting party, to call upon its IMAS resources in order to deploy them to another state through EMAC. Michigan recognizes out-of-state credentials from an out-of-state emergency responder if: the responder is from a unit of government outside of Michigan, the responder holds a license, certificate, or other permit recognized or issued by another state, and the responder is acting within the scope of his or her license, certificate, or permit and within what an equivalent license, certificate, or permit from or recognized by Michigan would authorize.",State creates an opt-in system through a master mutual aid agreement called the Michigan Emergency Management Assistance Compact (MEMAC).,State’s Emergency Management Act defines “Disaster Relief Forces” to include private and volunteer personnel having duties or responsibilities under that Act in accordance with a lawful order or directive authorized by that Act.,"Disaster Relief Forces serving under the control of the disaster relief authority in the area where they are serving are given the same rights and immunities as state employees and are reimbursed for all actual and necessary travel and subsistence expenses. When emergency responders from another state are providing mutual aid pursuant to a written mutual aid agreement authorized by Michigan’s Interstate Mutual Emergency Aid Act, under the emergency conditions required by that Act: (1) they are provided the same immunity as state employees, and (2) all pension, relief, disability, death benefits, worker’s compensation, and other benefits enjoyed by those emergency responders rendering emergency mutual aid shall extend to the services they perform outside their respective jurisdictions as if those services had been rendered in their own jurisdiction.",No,No
4,Minnesota,MN,5,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Individual compacts,"Individual jurisdictions enter into mutual aid agreements with each other, often in the form of a Memorandum of Understanding or Memorandum of Agreement. This approach allows for geographic limitations of each individual agreement and the possibility for variations among individual agreements within a given area.",State has a standard compact. State law allows its EMAC system to include volunteer health practitioners.,State utilizes individual compacts.,State allows private individuals and entities to register with the state or its political subdivisions to assist during disasters and emergencies. State may authorize private individuals to be “emergency response personnel.” State explicitly empowers its governor and political subdivisions to accept services and resources offered by private entities for emergency management purposes.,"Emergency response personnel, while activated by the state, are considered state employees and have the same rights, privileges, and immunities as such. Except in cases of willful and wanton or reckless acts, private organizations and their agents who volunteer without compensation or the expectation of compensation to assist state or local government during an emergency, and who are previously registered with the state or local government, and who act under the direction and control of the state or local government, are not liable for civil damages or administrative sanctions as a result of good-faith acts or omissions in rendering emergency care, advice, or assistance. Individuals who volunteer to assist state or local government during an emergency, and who are previously registered with the state or local government, and who operate under the direction and control of the state or local government, are considered an employee of the state or local government for purposes of workers’ compensation and tort claim defense and indemnification.",No,No
42,Missouri,MO,7,Enhanced EMAC,"Provides benefits and protections to public-sector response personnel, while also providing some benefits and protections to private-sector response personnel. Private-sector personnel may be allowed to deploy through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.",State has an enhanced compact. State allows emergency volunteers to be certified by the state emergency management agency and deployed to another state through EMAC.,State adopts a statewide opt-out IMAS.,"State defines “Emergency Management Services” broadly as all activities intended to minimize damage resulting from disasters. State provides for recruitment of emergency management volunteers through an online registration process at www.showmeresponse.org. When certain eligibility criteria are met, volunteers are eligible to receive usage of a state vehicle and to receive incidental and travel expense reimbursement.","During the performance of their official duties, volunteers recruited under the emergency management volunteer program receive workers’ compensation insurance and shall have their incidental expenses paid by the local jurisdiction for which the volunteer service is
provided. Emergency volunteers who are certified by the state emergency management agency are eligible for out-of-state EMAC deployment and are considered employees of the state for the purposes of EMAC protections. Architects, engineers, and certain qualified building officials and building inspectors who perform their duties under the direction of an in-state licensed architect or engineer, when working under the emergency volunteer program, are not liable for civil damages for harm to persons or property resulting from their services except in cases of willful misconduct or gross negligence.",Yes,Yes
55,Northern Mariana Islands,MP,9,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",No known significant IMAS,<Null>,Commonwealth has a standard compact with no known significant incorporation of private resources into EMAC.,No known significant IMAS. Commonwealth tasks its Office of Homeland Security and Emergency Management with developing a Memorandum of Understanding or Memorandum of Agreement with other CNMI government units or private organizations for emergency management purposes.,No known significant private mutual aid policies.,"No known legislation extending legal protections to private, non-medical emergency responders.",No,No
41,Mississippi,MS,4,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-in program,State creates a mutual aid program but leaves the burden on individual jurisdictions to opt in to the program.,State has a standard compact with no known significant incorporation of private resources into EMAC.,State creates an opt-in system called the Statewide Mutual Aid Compact (SMAC).,State authorizes the Mississippi Emergency Management Agency to create mobile support units which may include persons not employed by the state or a political subdivision thereof. State explicitly empowers its governor and political subdivisions to accept services and resources offered by private entities for emergency management purposes.,"Personnel serving in a mobile support unit under the control of an emergency management public authority receive compensation at a rate commensurate with their duties and responsibilities, and identical rights and immunities with state employees, and reimbursement for travel and subsistence expenses. Except in cases of willful misconduct, private individuals engaged in emergency management activities are not liable for civil damages for harm resulting from those activities while engaged in those activities if they can be legally classified as being “agents or representatives” of the state or a political subdivision thereof (see footnote). Professional engineers and registered architects duly licensed in the United States or Canada who provide safety assessment services are immune from liability from any civil lawsuit arising only from an act, service, or omission performed in the course of providing those safety assessment services if those services were provided: (1) at the request or with the approval of an appropriate public authority (see cited statute); (2) at the scene of the emergency; (3) during the emergency or within 90 days following the end of the period for the emergency, unless extended by an executive order; (4) without compensation other than expense reimbursement; (5) without wanton, willful, or intentional misconduct; and (6) while the architect or engineer was acting as a reasonably prudent person would have acted under the same or similar circumstances, to include any other loss of any nature related to the architect or engineer’s acts, errors, or omissions in the performance of any architectural or engineering services for any structure, building or facility during the declared period of emergency. Any out-of-state licensed architect or professional engineer acting within the confines of the Good Samaritan statute40 in order to perform safety assessment services is exempt from in-state architect and engineer licensing requirements, but only to the extent of the services rendered for the period of time as provided for in subsection (4) of the statute. Registered architects and professional engineers not licensed in Mississippi are
prohibited from providing architectural or engineering services beyond safety assessment services including, but not limited to, design of repairs, demolition plans, construction documents, or construction administration.",Yes,Yes
43,Montana,MT,8,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.",State has a standard compact with no known significant incorporation of private resources into EMAC.,State adopts a statewide opt-out IMAS.,"State defines “volunteer professional” to include licensed professionals of any state. Whenever a state of emergency or disaster is in effect, volunteer professionals may have their out-of-state licenses recognized in Montana, but must register with the appropriate Montana licensing agency first.","Volunteer in-state and out-of-state licensed professionals providing emergency management services are not liable for civil damages for harm to persons or property resulting from their acts or omissions specifically arising out of activities undertaken in response to an incident, disaster, or emergency, and undertaken while complying with or reasonably attempting to comply with certain other emergency management laws defined in the statute, except in cases of willful misconduct, gross negligence, or bad faith. Any persons responding to an IMAS request and under the control of the requesting jurisdiction and complying with or attempting to comply with the system are considered employees of that jurisdiction for liability purposes, except in cases of willful misconduct, gross negligence, or bad faith.",No,No
9,North Carolina,NC,4,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Individual compacts,"Individual jurisdictions enter into mutual aid agreements with each other, often in the form of a Memorandum of Understanding or Memorandum of Agreement. This approach allows for geographic limitations of each individual agreement and the possibility for variations among individual agreements within a given area.",State has a standard compact with no known significant incorporation of private resources into EMAC.,State utilizes individual compacts.,"State defines “Emergency Management” broadly as actions taken by the populace and federal, state, and local governments to minimize adverse effects of any type of emergency. For liability immunity purposes, state defines “Emergency Management Worker” as any paid or volunteer employee of any US jurisdiction or organization performing emergency management services in the state and subject to the control of the state or a subdivision thereof. State explicitly empowers its governor and political subdivisions to accept services and resources offered by private entities for emergency management purposes.
","State deems all activities relating to emergency services to be governmental functions. State grants Emergency Management Workers operating through mutual aid agreements the same immunities they would ordinarily possess in their own jurisdiction. Except in cases of willful misconduct, gross negligence, bad faith, or situations where the emergency management worker or organization’s act or omission caused in whole or in part the emergency or necessitated the emergency management measures, private entities engaged in emergency services during a declared state of emergency or during planning, preparation, training, or exercises with an appropriate governmental authority (see footnote), and complying or reasonably attempting to comply with relevant the legal requirements (see footnote) are immune from civil liability if providing the services under the direction and control of an appropriate governmental authority (see footnote), and if compensated no more than actual expenses, and if acting under the control of the governor, a municipality, or a county of North Carolina. This immunity is waived to the extent said entity is indemnified through liability insurance. Except in cases involving gross negligence, wanton conduct or intentional wrongdoing, or operation of a motor vehicle, in-state licensed architects, engineers, and land surveyors who render their professional architectural or engineering services for emergency management purposes at the scene of a declared disaster, and within 45 days of such declaration, and at the request of a public official acting in an official capacity are not liable for civil damages for harm to persons or property resulting from the acts or omissions in the performance of such services if relating to any structure, building, piping, or other architectural or engineered system, respectively.",Yes,Yes
32,North Dakota,ND,8,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Individual compacts,"Individual jurisdictions enter into mutual aid agreements with each other, often in the form of a Memorandum of Understanding or Memorandum of Agreement. This approach allows for geographic limitations of each individual agreement and the possibility for variations among individual agreements within a given area.","State has a standard compact. State explicitly provides for incorporation of volunteer health practitioners into its EMAC system. During an emergency or disaster, authorized emergency workers providing emergency services in the state involving the practice of a profession for which the emergency workers hold an out-of-state license are exempt from North Dakota licensing requirements for that profession during that emergency service. State has also codified a Northern Emergency Management Assistance Compact.",State uses individual compacts.,No known significant private mutual aid policies in North Dakota.,"State declares all emergency management functions to be governmental functions. Except in cases of willful misconduct, gross negligence, bad faith, or certain other statutorily defined exceptions (see cited statute), disaster or emergency workers are not liable for harm to persons or property resulting from their emergency services if working under the direction of an appropriate governmental response entity and complying with or reasonably attempting to comply with certain statutorily defined requirements (see cited statute). Except in cases of wanton, willful, or intentional misconduct, in-state registered architects and licensed professional engineers who voluntarily and without compensation provide certain statutorily-defined professional services at the scene of a declared disaster-caused emergency, and at the request of a public official acting in an official capacity, are not liable for civil damages for harm to persons or property resulting from their acts, errors, or omissions in the performance of any engineering services for any structure, building, piping, or other engineered system within 90 days of the emergency unless extended by the governor.",Yes,Yes
18,Nebraska,NE,7,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Individual compacts,"Individual jurisdictions enter into mutual aid agreements with each other, often in the form of a Memorandum of Understanding or Memorandum of Agreement. This approach allows for geographic limitations of each individual agreement and the possibility for variations among individual agreements within a given area.",State has a standard compact with no known significant incorporation of private resources into EMAC,State provides for individual compacts.,"State defines “Emergency Management Worker” to include employees and volunteers of any organization providing emergency management services in Nebraska under the control or request of the state or a political subdivision thereof. Emergency Management Workers performing emergency management services in the state during a declared emergency, and in accordance with a mutual aid agreement to which the state or a political subdivision thereof is a party, and which involves the practice of a profession for which the Emergency Management Workers hold an out-of-state license, are exempt from Nebraska licensing requirements for that profession during that emergency service. State empowers its governor and political subdivisions to accept equipment and services from private entities for disaster response and emergency management purposes.","State deems all activities relating to emergency management to be government functions. Except in cases of bad faith, willful misconduct, or gross negligence, Emergency Management Workers, when complying with or reasonably attempting to comply with any order, rule, or regulation promulgated pursuant to the Emergency Management Act, are not liable for civil damages for harm to persons or property resulting from their emergency services.30 Private persons serving on state emergency response teams: (1) must be subject to the operational control of the emergency management authority in the area in which they are serving; (2) are entitled to the same rights and immunities as state employees; and (3) may be reimbursed for expenses in accordance with state law. Any Emergency Management Workers performing emergency management services in the state pursuant to any mutual aid arrangement with the State of Nebraska are given the same privileges and immunities they would possess in their home jurisdictions.",No,No
8,New Hampshire,NH,1,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.",State has a standard compact with no known significant incorporation of private resources into EMAC.,State utilizes a statewide incident command system (based on the National Interagency Incident Management System) to respond to any natural or man-made cause that requires emergency management by multiple agencies or departments within state and local government. State also authorizes mutual aid agreements between political subdivisions.,State authorizes the governor and political subdivisions to accept private equipment and services offered for emergency management purposes.25 State authorizes the Division of Homeland Security & Emergency Management Director to cooperate with private agencies in all emergency management matters.,"State declares all emergency management functions to be governmental functions. Emergency management workers can include any full or part-time paid, volunteer, or auxiliary employees of any corporation, agency, or organization, public or private, who are performing emergency management services in the state under the operational control of or pursuant to a request of a public emergency management authority. Such emergency management workers may be reimbursed for travel and subsistence expenses incurred. Private emergency management workers serving under the operational control of a public emergency management authority are not liable for civil damages for harm to persons or property resulting from their emergency management services when complying or reasonably attempting to comply with the applicable state and local laws, regulations, or ordinances (see statute cited in footnote). Absent gross negligence, or wanton or willful misconduct, in-state licensed architects and engineers who volunteer their professional services in good faith without charge or compensation, and act at the direction of the director of the Division of Homeland Security and Emergency Management, the state fire marshal, or a town or city emergency management director who is managing a disaster or life-threatening emergency, are not
liable for civil damages for harm resulting from their acts or omissions in rendering those professional services services during the emergency and relating to the structural integrity of any building, structure, or system involved in the emergency, or to any nonstructural
element thereof which affects public safety.",Yes,Yes
15,New Jersey,NJ,2,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Individual compacts,"Individual jurisdictions enter into mutual aid agreements with each other, often in the form of a Memorandum of Understanding or Memorandum of Agreement. This approach allows for geographic limitations of each individual agreement and the possibility for variations among individual agreements within a given area.",State has a standard compact with no known significant incorporation of private resources into EMAC.,State authorizes political subdivisions to use individual compacts.,No known significant private mutual aid policies.,"Except in cases of fraud, malice, or intentional misconduct, in-state licensed architects and engineers are not personally liable for civil damages for harm to persons or property resulting from their acts, errors, or omissions in practicing architecture or engineering,
respectively, when: (1) practicing as uncompensated volunteers responding at the scene of a declared emergency, (2) during or within 90 days of such declaration, (3) pursuant to a governmental request, and (4) when no contractual relationship exists with the governmental
entity. For purposes of the New Jersey Tort Claims Act, an architect or engineer entitled to the preceding immunity shall be considered an employee of the public entity on whose behalf the public safety official requested the emergency architectural or engineering services (but this does not create any right or entitlement to workers’ compensation from that entity).",Yes,Yes
13,New Mexico,NM,6,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.",State has a standard compact. State law allows its EMAC system to include volunteer health practitioners. State provides for out-of-state business and employee participation in disaster relief in-state.,State adopts a statewide opt-out IMAS.,State explicitly authorizes itself and its political subdivisions to accept aid from private entities for emergency management.,"Except for employees of a responding jurisdiction, persons responding to a request for aid by a participating jurisdiction and operating under its control are considered employees of the requesting jurisdiction for civil liability purposes. Persons holding an in-state or outof-
state license, certificate, or other permit that evidences the meeting of qualifications for professional, mechanical, or other skills may be credentialed by the Department of Health or the Homeland Security and Emergency Management Department to render aid involving those skills to meet a declared emergency, and shall be considered a public employee for purposes of the New Mexico Tort Claims Act when approved to perform those duties. A professional engineer or professional surveyor who voluntarily, without compensation, at the request of a state or local public official acting in an official capacity, provides aircraft structure, structural, aeronautical, electrical, mechanical, other engineering services or surveying at the scene of a declared national, state or local emergency caused by a major earthquake, hurricane, tornado, fire, explosion, flood, collapse or other similar disaster or catastrophic event, such as a terrorist act, is not liable for any personal injury, wrongful death, property damage or other loss caused by the engineer’s or surveyor’s acts, errors or omissions in the performance of any surveying or engineering services for any structure, building, piping or other engineered system, publicly or governmentally owned; furthermore, the services must have been performed within 30 days of the emergency, disaster, or catastrophic event, unless duly extended by the governor, and must not have included wanton, willful, or intentional misconduct.",Yes,No
36,Nevada,NV,9,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.","State has a standard compact. State law authorizes its governor to deploy incident management assistance teams, which may consist of private personnel, to serve outside the state, but the statute does not explicitly integrate this into its EMAC.",State adopts a statewide opt-out program called the Nevada Intrastate Mutual Aid System (NIMAS).,"State authorizes its governor to create and deploy incident management assistance teams, which may include private personnel.","All activities relating to emergency management are deemed to be governmental functions. Personnel serving on an incident management assistance team under the operational control of the authority in charge of emergency management activities in the area in which they are serving are compensated $10 per day, are reimbursed for travel and subsistence expenses, and are given the same rights and immunities as state employees. Properly trained and licensed or certified emergency responders of a NIMAS-participating jurisdiction that is responding to a NIMAS request from another NIMAS-participating jurisdiction are considered to be agents of the NIMAS-requesting jurisdiction for purposes of tort liability and immunity, and are not liable for any act or omission while providing or attempting to provide such assistance in good faith, which does not include willful misconduct, gross negligence, or recklessness.",No,No
35,New York,NY,2,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.",State has a standard compact with no known significant incorporation of private resources into EMAC.,State adopts a statewide opt-out IMAS.,"State authorizes the Office of Emergency Management to accept private resources offered for emergency management purposes. State defines “Emergency Services Organization” to include private and volunteer organizations functioning for the purpose of relieving human suffering, injury, or loss of life or damage to property as a result of an emergency and defines “Disaster Emergency Response Personnel” to include volunteers affiliated with public officials or agencies and having duties under a comprehensive emergency management plan.","No known legislation extending legal protections to private, non-medical emergency responders.",No,No
25,Ohio,OH,5,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.",State has a standard compact with no known significant incorporation of private resources into EMAC.,State adopts statewide opt-out program.,State maintains a registry of volunteers to be deployed to respond to disasters. State allows jurisdictions to contract with private companies for the provision of emergency management services within mutual aid response efforts.,"Personnel provided by a participating jurisdiction are considered agents of that jurisdiction for tort liability immunity purposes while rendering aid and while en route to or from a jurisdiction which has requested the aid. Personnel of a responding political jurisdiction
who are rendering aid to a requesting political jurisdiction in an adjacent state in accordance with a mutual aid agreement are deemed to be exercising governmental functions and granted the same immunity protections as employees of political subdivisions while rendering the aid or en route to or from the jurisdiction which requested the aid. Government workers authorized to perform emergency management services during a hazard in accordance with any mutual aid agreement or arrangement and emergency management volunteers authorized to assist any government agency performing such emergency management are not liable for any harm to persons or property resulting from the performance of the emergency management services except in cases of willful misconduct. Absent wanton, willful, or intentional misconduct, in-state certified architects and registered professional engineers and surveyors, as well as certain contractors and tradespersons, who volunteer their professional services during or 90 days following a declared emergency period, without compensation and without a contract relating to the emergency, are not liable for civil damages for harm to persons or property resulting from their acts, errors, or omissions in the performance of those professional services at the request or with the approval of an appropriate public authority (see footnote) acting in an official capacity, and which relate to any structure, building, piping, or other engineered system.",Yes,Yes
29,Oklahoma,OK,6,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.",State has a standard compact. State law allows its EMAC system to include volunteer health practitioners.,State adopts a statewide opt-out IMAS.,State IMAS legislation defines “Emergency Responder” as any individual with special skills and qualifications that would be beneficial to a responding IMAS jurisdiction during an emergency. State provides for licensed out-of-state architects and engineers to provide certain emergency building safety and habitability inspections without an in-state license under certain statutorily defined conditions.,"State requires its IMAS-participating jurisdictions to provide compensation and death benefits to members of their emergency forces who are injured or killed while rendering aid pursuant to an IMAS request, in the same manner and on the same terms as if the injury or
death were sustained within their own jurisdiction. Absent gross negligence and wanton or willful misconduct, in-state licensed architects and professional engineers who voluntarily, without compensation other than expense reimbursement, provide architectural, structural, electrical, mechanical, or other design professional services related to a declared emergency, at the request or with the approval of a public authority believed by the professional to be acting in an official capacity, are not liable for civil damages for harm to persons or property resulting from their acts or omissions in rendering those professional services related to any structure or building or certain components or systems thereof and rendered during the emergency or within 90 days following the declared emergency period, unless extended by the governor. Out-of-state licensed architects and professional engineers providing certain statutorily defined emergency building safety and habitability inspection services under certain statutorily defined conditions are also not liable for civil damages for harm to persons or property resulting from their acts or omissions in the performance of such services except in cases of gross negligence or wanton or willful misconduct.",Yes,Yes
17,Oregon,OR,10,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.",State has a standard compact. State explicitly provides for incorporation of volunteer health practitioners into its EMAC system.,State adopts a statewide opt-out IMAS called the Oregon Resource Coordination Assistance Agreement.,No known significant private mutual aid policies.,"State does provide some liability immunity in a disaster response context for architects, engineers, and certified inspectors or certified building evaluators, but see Oregon Revised Statutes Sec. 30.788 for the particular requirements and eligibility criteria of that immunity.",Yes,Yes
